id_loan,id_direct_loantaker,name_direct_loantaker,id_ultimate_parent,name_ultimate_parent,loan_size_outstanding,loan_size_outstanding_currency,loan_size_credit_limit,loan_size_credit_limit_currency,sector_classification_system,sector_classification_input_type,sector_classification_direct_loantaker,fi_type,flag_project_finance_loan,name_intermediate_parent,name_project,lei_direct_loantaker,isin_direct_loantaker
L1,C1,Yuamen Xinneng Thermal Power Co Ltd,UP1,Alpine Knits India Pvt. Limited,225625,EUR,"1896880,5",EUR,NACE,Code,3511,Loan,No,,,,
L2,C2,"Yuamen Changyuan Hydropower Co., Ltd.",UP2,Eco Wave Power,301721,EUR,"1972796,1",EUR,NACE,Code,3511,Loan,No,,,,
L3,C3,Yuama Ethanol Llc,UP3,University Of Iowa,410297,EUR,"2081114,7",EUR,NACE,Code,3511,Loan,No,,,,
L4,C4,Yudaksel Holding A.S,UP4,"China Electric Power (Fujian) Development Co., Ltd.",233049,EUR,"1904286,9",EUR,NACE,Code,3511,Loan,No,,,,
L5,C5,Yukon Energy Corp 1736,UP5,Garland Power & Light,406585,EUR,"2077411,5",EUR,NACE,Code,3511,Loan,No,,,,
L6,C6,Yukon Development Corp,UP6,Earthpower Technologies Sydney Pty Ltd,185721,EUR,"1857071,1",EUR,NACE,Code,3511,Loan,No,,,,
L7,C7,Yaugoa-Zapadnaya Tec,UP7,Ineos Ag,184793,EUR,"1856145,3",EUR,NACE,Code,3511,Loan,No,,,,
L8,C8,Yueyang City Construction,UP8,Kraftwerk Mehrum Gmbh,291513,EUR,"1962612,3",EUR,NACE,Code,3511,Loan,No,,,,
L9,C9,Yuedxiu Group,UP9,Jai Bharat Gum & Chemicals Ltd.,407513,EUR,"2078337,3",EUR,NACE,Code,3511,Loan,No,,,,
L10,C10,Yuexi County AAAA Xingguang Electricity Development Co. Ltd.,UP10,Bhagwan Energy Ltd.,186649,EUR,"1857996,9",EUR,NACE,Code,3511,Loan,No,,,,
L11,C11,Yuxi ounty Liuan dropower elopment C. L,UP11,"Dynegy Midwest Generation, Inc.",191289,EUR,"1862625,9",EUR,NACE,Code,3511,Loan,No,,,,
L12,C12,Yuba vdf County Water Agency,UP12,Summit Meghnaghat Power Co. Ltd.,294297,EUR,"1965389,7",EUR,NACE,Code,3511,Loan,No,,,,
L13,C13,Yuba City Cogeneration Partners Lp,UP13,Consorcio Integrador Sonora80m,200569,EUR,"1871883,9",EUR,NACE,Code,3511,Loan,No,,,,
