id_loan,id_direct_loantaker,name_direct_loantaker,id_ultimate_parent,name_ultimate_parent,loan_size_outstanding,loan_size_outstanding_currency,loan_size_credit_limit,loan_size_credit_limit_currency,sector_classification_system,sector_classification_input_type,sector_classification_direct_loantaker,fi_type,flag_project_finance_loan,name_intermediate_parent,name_project,lei_direct_loantaker,isin_direct_loantaker
L1,C294,Yuamen Xinneng Thermal Power Co Ltd,UP15,Alpine Knits India Pvt. Limited,225625,EUR,18968805,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L2,C293,"Yuamen Changyuan Hydropower Co., Ltd.",UP84,Eco Wave Power,301721,EUR,19727961,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L3,C292,Yuama Ethanol Llc,UP288,University Of Iowa,410297,EUR,20811147,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L4,C299,Yudaksel Holding A.S,UP54,"China Electric Power (Fujian) Development Co., Ltd.",233049,EUR,19042869,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L5,C305,Yukon Energy Corp 1736,UP104,Garland Power & Light,406585,EUR,20774115,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L6,C304,Yukon Development Corp,UP83,Earthpower Technologies Sydney Pty Ltd,185721,EUR,18570711,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L7,C227,Yaugoa-Zapadnaya Tec,UP134,Ineos Ag,184793,EUR,18561453,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L8,C303,Yueyang City Construction,UP163,Kraftwerk Mehrum Gmbh,291513,EUR,19626123,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L9,C301,Yuedxiu Group,UP138,Jai Bharat Gum & Chemicals Ltd.,407513,EUR,20783373,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L10,C302,Yuexi County AAAA Xingguang Electricity Development Co. Ltd.,UP32,Bhagwan Energy Ltd.,186649,EUR,18579969,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L11,C309,Yuxi ounty Liuan dropower elopment C. L,UP81,"Dynegy Midwest Generation, Inc.",191289,EUR,18626259,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L12,C298,Yuba vdf County Water Agency,UP269,Summit Meghnaghat Power Co. Ltd.,294297,EUR,19653897,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L13,C297,Yuba City Cogeneration Partners Lp,UP69,Consorcio Integrador Sonora80m,200569,EUR,18718839,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L14,C296,Yuasfnjiang Elecdtric Psower Corpo,UP3,Affinity Renewables Inc.,187577,EUR,18589227,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L15,C295,Yuanbsaoshan Power Generation Co Ltd,UP196,Noshiro Forest Resources Utilization Cooperative Association,192217,EUR,18635517,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L16,C291,Yu Zhou 435 Tian Yuan Group,UP132,Ind Power Limited,298009,EUR,19690929,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L17,C290,Yu Wsang Shaanxi Huadian Coal Co Ltd,UP6,Agrenewables,205209,EUR,18765129,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L18,C284,Ysstterhogdals Elektriska Kraft Ab,UP121,"Helm Concentrates, Inc.",189433,EUR,18607743,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
L19,C289,Ytre Matrefd Energi As,UP78,Domica Fpi S.R.O.,194073,EUR,18654033,EUR,NACE,Code,3511,Loan,No,NA,NA,NA,NA
